IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,279,5.29
34.65.135.65,443,443,true,FRA,Europe,Frankfurt,266,5.28
34.118.56.203,443,443,true,FRA,Europe,Frankfurt,361,5.28
34.90.206.159,443,443,true,FRA,Europe,Frankfurt,270,5.28
34.116.141.181,443,443,true,FRA,Europe,Frankfurt,337,5.27
34.118.26.33,443,443,true,FRA,Europe,Frankfurt,280,5.27
34.32.230.130,443,443,true,FRA,Europe,Frankfurt,271,5.26
34.65.135.199,443,443,true,FRA,Europe,Frankfurt,250,5.25
34.90.85.196,443,443,true,FRA,Europe,Frankfurt,267,5.25
34.116.235.77,443,443,true,FRA,Europe,Frankfurt,327,5.25
34.65.147.135,443,443,true,FRA,Europe,Frankfurt,266,5.25
34.91.49.243,443,443,true,FRA,Europe,Frankfurt,272,5.25
34.32.131.28,443,443,true,FRA,Europe,Frankfurt,259,5.25
34.34.56.11,443,443,true,FRA,Europe,Frankfurt,258,5.25
34.118.112.163,443,443,true,FRA,Europe,Frankfurt,283,5.25
34.65.147.135,443,443,true,FRA,Europe,Frankfurt,249,5.24
34.32.255.116,443,443,true,FRA,Europe,Frankfurt,268,5.24
34.91.49.243,443,443,true,FRA,Europe,Frankfurt,262,5.23
34.32.164.2,443,443,true,FRA,Europe,Frankfurt,262,5.22
34.65.92.52,443,443,true,FRA,Europe,Frankfurt,256,5.22
34.118.110.34,443,443,true,FRA,Europe,Frankfurt,308,5.22
34.116.174.107,443,443,true,FRA,Europe,Frankfurt,267,5.22
34.118.67.148,443,443,true,FRA,Europe,Frankfurt,371,5.21
34.65.218.205,443,443,true,FRA,Europe,Frankfurt,253,5.21
34.116.182.250,443,443,true,FRA,Europe,Frankfurt,353,5.21
34.154.234.47,443,443,true,FRA,Europe,Frankfurt,252,5.21
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,251,5.20
34.65.135.199,443,443,true,FRA,Europe,Frankfurt,252,5.20
34.116.167.6,443,443,true,FRA,Europe,Frankfurt,329,5.20
35.204.180.18,443,443,true,FRA,Europe,Frankfurt,259,5.19
34.154.249.105,443,443,true,FRA,Europe,Frankfurt,279,5.19
34.118.6.179,443,443,true,FRA,Europe,Frankfurt,327,5.18
34.32.204.13,443,443,true,FRA,Europe,Frankfurt,261,5.18
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,356,5.18
34.118.47.106,443,443,true,FRA,Europe,Frankfurt,272,5.18
34.154.220.148,443,443,true,FRA,Europe,Frankfurt,257,5.18
34.154.22.83,443,443,true,FRA,Europe,Frankfurt,266,5.18
34.159.143.68,443,443,true,FRA,Europe,Frankfurt,252,5.16
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,269,5.15
34.118.25.79,443,443,true,FRA,Europe,Frankfurt,267,5.14
34.116.135.49,443,443,true,FRA,Europe,Frankfurt,326,5.13
34.118.77.221,443,443,true,FRA,Europe,Frankfurt,330,5.12
34.154.13.73,443,443,true,FRA,Europe,Frankfurt,255,5.12
34.154.0.11,443,443,true,FRA,Europe,Frankfurt,261,5.11
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,260,5.11
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,273,5.11
