IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.163.71.179,443,443,true,SJC,North America,US,San Jose,280,11.02
20.217.216.51,8443,443,true,VIE,Europe,AT,Vienna,358,11.00
98.67.170.12,2053,443,true,FRA,Europe,DE,Frankfurt,387,10.83
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,227,10.45
20.33.30.36,2083,443,true,LAX,North America,US,Los Angeles,357,10.40
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,459,10.09
20.221.32.145,443,443,true,ORD,North America,US,Chicago,221,9.99
4.255.56.137,443,443,true,EWR,North America,US,Newark,400,9.80
13.67.136.12,443,443,true,ORD,North America,US,Chicago,445,9.22
172.214.176.68,8443,443,true,ORD,North America,US,Chicago,368,8.80
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,449,8.79
158.23.168.120,443,443,true,DFW,North America,US,Dallas,318,8.63
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,238,8.53
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,219,8.49
172.214.176.68,2053,443,true,ORD,North America,US,Chicago,452,8.48
74.249.233.213,443,443,true,ORD,North America,US,Chicago,349,8.45
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,402,8.44
137.116.91.147,8443,443,true,IAD,North America,US,Ashburn,289,8.43
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,395,8.42
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,310,8.40
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,465,8.29
20.127.201.36,443,443,true,EWR,North America,US,Newark,227,8.26
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,288,8.26
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,409,8.24
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,245,8.21
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,363,8.04
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,411,8.02
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,331,7.97
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,389,7.88
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,440,7.87
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,273,7.85
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,431,7.72
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,411,7.67
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,282,7.60
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,229,7.54
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,322,7.43
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,281,7.37
104.210.3.231,8443,443,true,IAD,North America,US,Ashburn,431,7.32
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,321,7.30
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,346,7.30
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,394,7.29
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,523,7.28
172.200.2.241,443,443,true,IAD,North America,US,Ashburn,283,7.25
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,298,7.22
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,296,7.10
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,417,7.06
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,382,7.05
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,374,6.99
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,230,6.90
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,265,6.54
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,501,6.36
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,329,6.17
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,267,6.15
172.208.44.21,443,443,true,IAD,North America,US,Ashburn,453,6.10
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,333,6.06
4.152.146.92,443,443,true,IAD,North America,US,Ashburn,404,5.85
20.74.223.241,8080,443,true,MCI,North America,US,Kansas City,517,4.25
20.74.223.241,443,443,true,MCI,North America,US,Kansas City,542,4.24
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,321,4.21
191.235.86.71,2053,443,true,GRU,South America,BR,São Paulo,532,4.00
20.82.142.108,8443,443,true,DUB,Europe,IE,Dublin,437,3.30
20.220.204.217,443,443,true,YYZ,North America,CA,Toronto,362,0.07
20.204.43.57,80,443,false,BOM,Asia Pacific,IN,Mumbai,108,0.06
137.116.251.154,80,443,false,DUB,Europe,IE,Dublin,165,0.02
13.90.157.110,80,443,false,IAD,North America,US,Ashburn,283,0.02
52.226.76.91,80,443,false,IAD,North America,US,Ashburn,218,0.02
104.40.244.228,443,443,true,AMS,Europe,NL,Amsterdam,530,0.00
20.48.5.180,80,80,false,NRT,Asia Pacific,JP,Tokyo,99,0.00
51.143.162.160,80,80,false,LHR,Europe,GB,London,150,0.00
51.140.191.188,2086,2086,false,LHR,Europe,GB,London,150,0.00
51.140.44.206,2086,2086,false,LHR,Europe,GB,London,151,0.00
20.58.24.221,2086,2086,false,LHR,Europe,GB,London,152,0.00
51.140.154.44,2086,2086,false,LHR,Europe,GB,London,156,0.00
13.95.193.125,80,443,false,AMS,Europe,NL,Amsterdam,158,0.00
51.141.162.228,80,80,false,SEA,North America,US,Seattle,161,0.00
108.141.130.146,80,80,false,AMS,Europe,NL,Amsterdam,167,0.00
104.40.244.228,80,80,false,AMS,Europe,NL,Amsterdam,182,0.00
40.66.63.160,80,80,false,CDG,Europe,FR,Paris,197,0.00
