IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.40.144.76,80,80,false,ORD,North America,Chicago,256,0.00
52.56.130.239,2096,80,false,ORD,North America,Chicago,252,0.00
54.71.180.5,8080,80,false,ORD,North America,Chicago,202,0.00
18.175.61.194,2052,80,false,ORD,North America,Chicago,243,0.00
35.94.148.189,2053,80,false,ORD,North America,Chicago,205,0.00
34.222.138.56,8443,80,false,ORD,North America,Chicago,202,0.00
34.222.138.56,2096,80,false,ORD,North America,Chicago,203,0.00
52.56.130.239,2086,80,false,ORD,North America,Chicago,244,0.00
13.40.144.76,2082,80,false,ORD,North America,Chicago,263,0.00
13.40.144.76,2095,80,false,ORD,North America,Chicago,268,0.00
52.56.130.239,8080,80,false,ORD,North America,Chicago,252,0.00
13.40.144.76,8080,80,false,ORD,North America,Chicago,331,0.00
13.40.144.76,2052,80,false,ORD,North America,Chicago,262,0.00
13.126.221.19,8880,80,false,ORD,North America,Chicago,70,0.00
13.126.221.19,2082,80,false,ORD,North America,Chicago,64,0.00
13.126.221.19,2053,80,false,ORD,North America,Chicago,61,0.00
13.126.221.19,2083,80,false,ORD,North America,Chicago,61,0.00
13.126.221.19,2086,80,false,ORD,North America,Chicago,58,0.00
13.126.221.19,80,80,false,ORD,North America,Chicago,55,0.00
13.126.221.19,2052,80,false,ORD,North America,Chicago,56,0.00
13.126.221.19,2095,80,false,ORD,North America,Chicago,58,0.00
13.126.221.19,2087,80,false,ORD,North America,Chicago,86,0.00
13.126.221.19,8443,80,false,ORD,North America,Chicago,55,0.00
13.126.221.19,2096,80,false,ORD,North America,Chicago,55,0.00
35.93.29.243,443,80,false,ORD,North America,Chicago,209,0.00
35.93.29.243,2082,80,false,ORD,North America,Chicago,202,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.115.176,443,443,true,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,2,0.00
13.228.155.72,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.228.170.74,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
13.228.142.218,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
52.76.182.63,2086,80,false,SIN,Asia Pacific,Singapore,9,0.00
52.76.182.63,2095,80,false,SIN,Asia Pacific,Singapore,13,0.00
52.76.182.63,2083,80,false,SIN,Asia Pacific,Singapore,13,0.00
52.76.182.63,2082,80,false,SIN,Asia Pacific,Singapore,16,0.00
52.76.182.63,2087,80,false,SIN,Asia Pacific,Singapore,16,0.00
52.76.182.63,2053,80,false,SIN,Asia Pacific,Singapore,16,0.00
